Radius_kpc	number_density
1.01999963278043	3.7176888e-08
1.0607978032552452	4.36755375e-08
1.101433934765588	5.089875e-08
1.140832088587363	5.84775555e-08
1.1710005029928008	6.4702785e-08
1.1877650542570963	6.808035499999999e-08
1.2019240189726788	7.1180928e-08
1.2203348861160124	7.526845900000001e-08
1.2442648003892693	8.081766e-08
1.270064644312536	8.700194999999999e-08
1.2929186198616978	9.2472065e-08
1.317256872325425	9.882810000000001e-08
1.3488998413075597	1.0697778e-07
1.381421061477134	1.1605894999999998e-07
1.4066796952590632	1.233036e-07
1.4311086895428948	1.3054041e-07
1.4628683265794495	1.4046879000000002e-07
1.4961835376749377	1.50421425e-07
1.5242065561907632	1.59452125e-07
1.5533184765478418	1.6938369e-07
1.5911610563106837	1.8289592999999998e-07
1.6303064293478822	1.9729531499999997e-07
1.662597554187906	2.0900215e-07
1.6960391556756824	2.2154468000000002e-07
1.739510969064289	2.3944536e-07
1.7852675318519542	2.5918893e-07
1.8236837295490276	2.7535256e-07
1.8633217010382215	2.931503399999999e-07
1.914850091740387	3.1723555499999997e-07
1.9682775791061666	3.4307349999999995e-07
2.0120637480858496	3.6454334e-07
2.0568772441002863	3.8758265e-07
2.115133492607338	4.1856045e-07
2.1727869561665534	4.5047415e-07
2.217665267766779	4.7615995e-07
2.264014893164412	5.027008e-07
2.3242707024930516	5.38769455e-07
2.389290457377174	5.7921381e-07
2.4480749529084047	6.1613825e-07
2.500893173767769	6.503005600000001e-07
2.558374876024644	6.888478800000001e-07
2.6331040056599417	7.40067825e-07
2.708312770630077	7.935187400000001e-07
2.767829682280723	8.3707533e-07
2.828889204873144	8.8206566e-07
2.9082688527887943	9.388154999999999e-07
2.988685550077067	1.008273e-06
3.054301608350447	1.060164e-06
3.123446875270032	1.12014e-06
3.2133331296420606	1.1971875999999999e-06
3.304525418067736	1.2742817499999999e-06
3.3802300222691564	1.3427126999999998e-06
3.461443951262632	1.4189175e-06
3.5670285405127293	1.5206120999999997e-06
3.6736501791354486	1.6222919999999997e-06
3.7615401134651805	1.7066308000000002e-06
3.855781975202222	1.8075511999999999e-06
3.9612369332807416	1.916733e-06
4.0588816132717005	2.01681305e-06
4.1487484229679925	2.1084406000000003e-06
4.250768154999701	2.2243598999999996e-06
4.364098206751571	2.3397304e-06
4.469002232350885	2.4552527999999995e-06
4.566776543513421	2.5531596999999995e-06
4.678356574448991	2.6662272e-06
4.800695992625515	2.7965279999999997e-06
4.91107693522399	2.90151785e-06
5.0119299867114995	2.9890784e-06
5.126232272250202	3.0914222499999998e-06
5.250807828136443	3.18566885e-06
5.361545256456758	3.2635323e-06
5.461199219607172	3.32422125e-06
5.573654260950891	3.3742674e-06
5.695086260926371	3.4250069e-06
5.801156967069885	3.4524321999999997e-06
5.8947830807419335	3.4630505e-06
5.999233397240725	3.4715667000000003e-06
6.104688355319245	3.4561072e-06
6.188721762294537	3.4427154999999996e-06
6.263162462573074	3.4210648499999995e-06
6.333908674461645	3.3921965e-06
6.399210377143949	3.3706511999999998e-06
6.471317716334086	3.3326565999999996e-06
6.547864923150762	3.29476e-06
6.613263849211749	3.2579316e-06
6.681417437668765	3.21200635e-06
6.754885904160468	3.1662036e-06
6.820641315943294	3.1214567999999997e-06
6.891517159003443	3.0677062500000003e-06
6.968226404784589	3.0059343999999997e-06
7.036217954277133	2.953377e-06
7.098473324427359	2.8927884999999994e-06
7.16951120645198	2.822498e-06
7.248035288635216	2.7532732499999997e-06
7.316350916056704	2.68505545e-06
7.385347107128975	2.6162031e-06
7.474987062275006	2.5217555999999996e-06
7.573312305916748	2.4284228499999996e-06
7.666776380624323	2.3354135e-06
7.76250900083451	2.2500800000000006e-06
7.868871377114074	2.1490518000000004e-06
7.986965374421426	2.05580725e-06
8.115689127798158	1.954414e-06
8.255625977516363	1.8455948e-06
8.411539869131532	1.7442039999999999e-06
8.592278130103846	1.6266480999999998e-06
8.780859076956613	1.5266636e-06
8.959976948284202	1.43472e-06
9.163011770767891	1.3347746999999998e-06
9.426940836100242	1.2259456999999997e-06
9.70195336660249	1.11939275e-06
9.936099670264845	1.03756275e-06
10.151287415083951	9.643788e-07
10.348812912775584	9.0759515e-07
10.499638780906327	8.5961925e-07
10.609047489717968	8.275879499999999e-07
10.72247476484852	7.9515975e-07
10.869930222518239	7.5031593e-07
11.016607893158492	7.077119e-07
11.1215443265507	6.764939999999999e-07
11.19951747625473	6.53628885e-07
11.283161989715289	6.2783798e-07
11.39189013487615	5.933164999999999e-07
11.499710861835961	5.593349999999999e-07
11.577424749196839	5.34197265e-07
11.63686064136525	5.1489298e-07
11.701449372603873	4.92665355e-07
11.785385556200483	4.6276775999999993e-07
11.86886803069657	4.33271475e-07
11.929340972237602	4.1138439999999994e-07
11.975943378419812	3.9471411e-07
12.026953244435665	3.7586087e-07
12.093227180904803	3.5017237499999995e-07
12.159598340752623	3.24675225e-07
12.20843688464455	3.0533002500000003e-07
12.246516041295521	2.9115702e-07
12.288224870750671	2.7470674e-07
12.342410700470182	2.5306785e-07
12.397082647083106	2.3164064e-07
12.437948873923	2.1536969999999997e-07
12.470291851231655	2.0278062e-07
12.505972831208437	1.8868185e-07
12.552380790633281	1.7168865e-07
12.5995017215018	1.53321e-07
12.635539187200422	1.4008511999999999e-07
12.664771016391212	1.2905424e-07
12.697243624871444	1.1803805999999998e-07
12.739470979012905	1.0336109e-07
12.782443712390936	8.9470815e-08
12.81478668969959	7.850682e-08
12.839611059056734	7.1068326e-08
12.866185449230178	6.3613368e-08
12.90076456424855	5.4354181e-08
