Radius_kpc	Emissivity
1.01999963278043	6.0801e-28
1.0607978032552452	7.4521e-28
1.101433934765588	7.1868e-28
1.140832088587363	7.0455e-28
1.1710005029928008	6.9735e-28
1.1877650542570963	6.9643e-28
1.2019240189726788	6.9666e-28
1.2203348861160124	6.9599e-28
1.2442648003892693	6.9552e-28
1.270064644312536	6.9598e-28
1.2929186198616978	6.9756e-28
1.317256872325425	6.9999e-28
1.3488998413075597	7.0284e-28
1.381421061477134	7.0538e-28
1.4066796952590632	7.0819e-28
1.4311086895428948	7.1145e-28
1.4628683265794495	7.1507e-28
1.4961835376749377	7.1839e-28
1.5242065561907632	7.2177e-28
1.5533184765478418	7.256e-28
1.5911610563106837	7.2995e-28
1.6303064293478822	7.3399e-28
1.662597554187906	7.3785e-28
1.6960391556756824	7.4195e-28
1.739510969064289	7.4661e-28
1.7852675318519542	7.512e-28
1.8236837295490276	7.5556e-28
1.8633217010382215	7.6004e-28
1.914850091740387	7.6519e-28
1.9682775791061666	7.7038e-28
2.0120637480858496	7.7508e-28
2.0568772441002863	7.7959e-28
2.115133492607338	7.849e-28
2.1727869561665534	7.9013e-28
2.217665267766779	7.9445e-28
2.264014893164412	7.9878e-28
2.3242707024930516	8.0401e-28
2.389290457377174	8.0972e-28
2.4480749529084047	8.1499e-28
2.500893173767769	8.1994e-28
2.558374876024644	8.246e-28
2.6331040056599417	8.308e-28
2.708312770630077	8.3767e-28
2.767829682280723	8.4314e-28
2.828889204873144	8.4771e-28
2.9082688527887943	8.5497e-28
2.988685550077067	8.624e-28
3.054301608350447	8.6839e-28
3.123446875270032	8.7318e-28
3.2133331296420606	8.8164e-28
3.304525418067736	8.901e-28
3.3802300222691564	8.97e-28
3.461443951262632	9.0365e-28
3.5670285405127293	9.122e-28
3.6736501791354486	9.2192e-28
3.7615401134651805	9.2972e-28
3.855781975202222	9.3707e-28
3.9612369332807416	9.4582e-28
4.0588816132717005	9.5383e-28
4.1487484229679925	9.6068e-28
4.250768154999701	9.6745e-28
4.364098206751571	9.7512e-28
4.469002232350885	9.8162e-28
4.566776543513421	9.8673e-28
4.678356574448991	9.9119e-28
4.800695992625515	9.9545e-28
4.91107693522399	9.9757e-28
5.0119299867114995	9.9809e-28
5.126232272250202	9.9619e-28
5.250807828136443	9.9279e-28
5.361545256456758	9.847e-28
5.461199219607172	9.7599e-28
5.573654260950891	9.6342e-28
5.695086260926371	9.4494e-28
5.801156967069885	9.2438e-28
5.8947830807419335	9.0293e-28
5.999233397240725	8.7561e-28
6.104688355319245	8.4204e-28
6.188721762294537	8.1034e-28
6.263162462573074	7.7998e-28
6.333908674461645	7.4868e-28
6.399210377143949	7.167e-28
6.471317716334086	6.7913e-28
6.547864923150762	6.3587e-28
6.613263849211749	5.9574e-28
6.681417437668765	5.5395e-28
6.754885904160468	5.0743e-28
6.820641315943294	4.6561e-28
6.891517159003443	4.2161e-28
6.968226404784589	3.7619e-28
7.036217954277133	3.3845e-28
7.098473324427359	3.0644e-28
7.16951120645198	2.7283e-28
7.248035288635216	2.4004e-28
7.316350916056704	2.1503e-28
7.385347107128975	1.9212e-28
7.474987062275006	1.6643e-28
7.573312305916748	1.4314e-28
7.666776380624323	1.2467e-28
7.76250900083451	1.0869e-28
7.868871377114074	9.3884e-29
7.986965374421426	8.0436e-29
8.115689127798158	6.8575e-29
8.255625977516363	5.8212e-29
8.411539869131532	4.8987e-29
8.592278130103846	4.0594e-29
8.780859076956613	3.389e-29
8.959976948284202	2.8855e-29
9.163011770767891	2.4201e-29
9.426940836100242	1.9516e-29
9.70195336660249	1.592e-29
9.936099670264845	1.3554e-29
10.151287415083951	1.1758e-29
10.348812912775584	1.0384e-29
10.499638780906327	9.4966e-30
10.609047489717968	8.9182e-30
10.72247476484852	8.336e-30
10.869930222518239	7.6332e-30
11.016607893158492	7.0206e-30
11.1215443265507	6.6393e-30
11.19951747625473	6.3724e-30
11.283161989715289	6.0873e-30
11.39189013487615	5.7311e-30
11.499710861835961	5.4083e-30
11.577424749196839	5.1995e-30
11.63686064136525	5.0449e-30
11.701449372603873	4.8772e-30
11.785385556200483	4.6655e-30
11.86886803069657	4.4668e-30
11.929340972237602	4.336e-30
11.975943378419812	4.2357e-30
12.026953244435665	4.1261e-30
12.093227180904803	3.9873e-30
12.159598340752623	3.8528e-30
12.20843688464455	3.7607e-30
12.246516041295521	3.6894e-30
12.288224870750671	3.6113e-30
12.342410700470182	3.5115e-30
12.397082647083106	3.4127e-30
12.437948873923	3.3442e-30
12.470291851231655	3.2901e-30
12.505972831208437	3.2296e-30
12.552380790633281	3.15e-30
12.5995017215018	3.0722e-30
