Radius_kpc	Emissivity
1.01999963278043	5.7614999999999996e-27
1.0607978032552452	5.2253e-27
1.101433934765588	4.7072e-27
1.140832088587363	4.1340999999999996e-27
1.1710005029928008	3.5397e-27
1.1877650542570963	3.2555e-27
1.2019240189726788	3.1065e-27
1.2203348861160124	2.8789e-27
1.2442648003892693	2.6194999999999997e-27
1.270064644312536	2.3349e-27
1.2929186198616978	2.1199000000000002e-27
1.317256872325425	1.9521e-27
1.3488998413075597	1.77623e-27
1.381421061477134	1.5892599999999999e-27
1.4066796952590632	1.47717e-27
1.4311086895428948	1.40951e-27
1.4628683265794495	1.3281e-27
1.4961835376749377	1.2435600000000001e-27
1.5242065561907632	1.18914e-27
1.5533184765478418	1.1528299999999999e-27
1.5911610563106837	1.11315e-27
1.6303064293478822	1.072e-27
1.662597554187906	1.0479799999999999e-27
1.6960391556756824	1.03357e-27
1.739510969064289	1.01733e-27
1.7852675318519542	1.00075e-27
1.8236837295490276	9.927e-28
1.8633217010382215	9.9054e-28
1.914850091740387	9.883500000000001e-28
1.9682775791061666	9.8489e-28
2.0120637480858496	9.8454e-28
2.0568772441002863	9.8829e-28
2.115133492607338	9.9246e-28
2.1727869561665534	9.9442e-28
2.217665267766779	9.9785e-28
2.264014893164412	1.00232e-27
2.3242707024930516	1.00652e-27
2.389290457377174	1.00913e-27
2.4480749529084047	1.01171e-27
2.500893173767769	1.01198e-27
2.558374876024644	1.0148100000000001e-27
2.6331040056599417	1.01428e-27
2.708312770630077	1.01031e-27
2.767829682280723	1.00708e-27
2.828889204873144	1.00592e-27
2.9082688527887943	9.9417e-28
2.988685550077067	9.8247e-28
3.054301608350447	9.724300000000001e-28
3.123446875270032	9.6617e-28
3.2133331296420606	9.4241e-28
3.304525418067736	9.2053e-28
3.3802300222691564	9.0152e-28
3.461443951262632	8.804400000000001e-28
3.5670285405127293	8.5026e-28
3.6736501791354486	8.1655e-28
3.7615401134651805	7.884200000000001e-28
3.855781975202222	7.575799999999999e-28
3.9612369332807416	7.2156e-28
4.0588816132717005	6.8843e-28
4.1487484229679925	6.5846e-28
4.250768154999701	6.2465e-28
4.364098206751571	5.8783e-28
