Radius_kpc	Emissivity
1.0176695124713193	7.6224e-26
1.0560435800376302	3.6912e-26
1.0982871380755375	1.7702e-26
1.1422191421232453	1.1899e-26
1.174801937099319	9.543e-27
1.1910609267944612	8.9437e-27
1.2050189631940982	8.5671e-27
1.2231640864356974	8.1266e-27
1.2467537188835627	7.6869e-27
1.2733832023049272	7.2618e-27
1.2986094282939622	6.9527e-27
1.3260555880962663	6.7145e-27
1.3568235466702512	6.4629e-27
1.3853035150658881	6.2807e-27
1.4157311918144815	6.1502e-27
1.4552816622628606	5.9964e-27
1.4948839851798705	5.8446e-27
1.5253894406314104	5.7726e-27
1.555878692186503	5.7266e-27
1.5955199044549864	5.6632e-27
1.6381037443182855	5.5964e-27
1.6751815001688184	5.5582e-27
1.7140481661871245	5.5392e-27
1.7645783968681412	5.5109e-27
1.8134104592014888	5.4768e-27
1.8496780202296608	5.4715e-27
1.8864641059441436	5.4751e-27
1.9342850451391849	5.4723e-27
1.9867727065110257	5.4708e-27
2.0354589337763485	5.4727e-27
2.079423345616951	5.4872e-27
2.1271178944197033	5.5002e-27
2.189120483785353	5.5218e-27
2.2509837196415563	5.5374e-27
2.299268090274988	5.5598e-27
2.3486348811910944	5.5817e-27
2.41281527423925	5.6141e-27
2.4780975322458176	5.642e-27
2.531952802477804	5.6719e-27
2.589100704467866	5.6985e-27
2.663392328899089	5.7457e-27
2.738008031259256	5.7868e-27
2.7992684821676224	5.8266e-27
2.86513408044629	5.8689e-27
2.9507587100526993	5.9216e-27
3.0368986235661306	5.9771e-27
3.1073434429807825	6.0276e-27
3.182565171068076	6.0797e-27
3.266770339345709	6.1368e-27
3.3447758968426347	6.1918e-27
3.4162674879677772	6.2425e-27
3.497286970203886	6.2977e-27
3.587024148728601	6.3577e-27
3.6695992050236432	6.4115e-27
3.7462112274261083	6.4598e-27
3.833550229276634	6.5106e-27
3.928893955972087	6.5617e-27
4.01438571362763	6.6009e-27
4.092132008781399	6.6359e-27
4.1800219431111305	6.6639e-27
4.275236038635006	6.6751e-27
4.35920463002451	6.6781e-27
4.43439070953962	6.6715e-27
4.518877825615434	6.6606e-27
4.609749276891454	6.625e-27
4.688467805832057	6.5818e-27
4.757366773525645	6.5382e-27
4.833946388135215	6.4895e-27
4.916229774294207	6.4215e-27
4.983897245857805	6.3577e-27
5.03811548337021	6.3117e-27
5.087407736362659	6.2616e-27
5.142014867389796	6.2286e-27
5.198436834819023	6.19e-27
5.245330911137282	6.1543e-27
5.294363901786576	6.1446e-27
5.347577497719252	6.1372e-27
5.395508623410135	6.1434e-27
5.447166645283878	6.1677e-27
5.503102495819688	6.2083e-27
5.552556787776608	6.2587e-27
5.597506396521202	6.3164e-27
5.648613485915739	6.3947e-27
5.704776191001811	6.4903e-27
5.756758290804497	6.5883e-27
5.813569151748458	6.7016e-27
5.875079142662112	6.826e-27
5.933575208836582	6.9459e-27
5.997159298495481	7.0763e-27
6.070076832507979	7.2176e-27
6.148438875726744	7.3633e-27
6.229847251477586	7.5049e-27
6.316149203955489	7.6439e-27
6.410877182585948	7.7792e-27
6.517012704315252	7.9144e-27
6.636727091267326	8.0413e-27
6.76263136666224	8.1516e-27
6.906392335941991	8.2437e-27
7.0646395886455595	8.3151e-27
7.213326542445268	8.3508e-27
7.378184984899303	8.3534e-27
7.592497719310258	8.3146e-27
7.812773487613791	8.2302e-27
7.995683070710031	8.12e-27
8.158305375454349	7.9976e-27
8.339659384491657	7.8379e-27
8.494244556598153	7.6823e-27
8.572671415402706	7.5897e-27
8.633273988115317	7.5174e-27
8.712057332641708	7.4357e-27
8.800109305935912	7.3242e-27
8.876688920545483	7.2322e-27
8.936675745193098	7.1613e-27
8.99044027360498	7.0937e-27
9.052241934654683	7.0105e-27
9.118677910088294	6.9262e-27
9.174257274902264	6.8511e-27
9.218882805717913	6.7868e-27
9.266295406722483	6.7225e-27
9.31899047796885	6.663e-27
9.365690107529742	6.6018e-27
9.404125749902553	6.5533e-27
9.4446678988135	6.5039e-27
9.48922861404336	6.4393e-27
9.527891110966435	6.3977e-27
9.559618340210093	6.3579e-27
9.593419668198997	6.3167e-27
9.630980300163658	6.2689e-27
9.664295511259146	6.2341e-27
9.691971766391001	6.2049e-27
9.721462857924946	6.1726e-27
9.754259544334122	6.134e-27
9.783394150146226	6.1111e-27
9.807829625988637	6.085e-27
9.834015122647347	6.06e-27
9.863441398595501	6.039e-27
9.890242643319208	6.0107e-27
9.91309013730979	5.9996e-27
9.937720059909568	5.9906e-27
9.965428722834316	5.9733e-27
9.99031790777725	5.9771e-27
10.010572778336277	5.9662e-27
10.031573028131877	5.9663e-27
10.058892797541892	5.9726e-27
10.085532003301125	6.0069e-27
10.103842406286486	6.028e-27
10.11751849488794	6.0315e-27
10.132652934169645	6.0399e-27
10.15229205666368	6.0702e-27
10.171283023299823	6.0921e-27
10.184343363836282	6.1008e-27
10.194227740669088	6.1022e-27
10.205051943495832	6.0985e-27
10.219149333404916	6.074e-27
10.233538393450049	6.0556e-27
10.244427411862581	6.0239e-27
10.252853438015137	5.9746e-27
10.26199243561137	5.9097e-27
10.273853687810737	5.8103e-27
10.286168649110625	5.6836e-27
10.29576135580738	5.5562e-27
10.303442002723365	5.4437e-27
10.311770805497236	5.2721e-27
10.319645899170586	5.1147e-27
10.324798738240803	4.9967e-27
10.328817304559713	4.8965e-27
10.333484026736514	4.778e-27
10.339122982700147	4.6363e-27
10.345021201006935	4.482e-27
10.350562933591885	4.3255e-27
10.355683364869208	4.1778e-27
10.360901019525214	4.0261e-27
10.36663719886753	3.8588e-27
10.372632640553	3.6735e-27
10.378109557552163	3.519e-27
10.381901269320812	3.4141e-27
10.384299445995001	3.3477e-27
10.386762438254978	3.28e-27
10.389938401958634	3.1913e-27
10.393568074762811	3.0955e-27
10.39684126184515	3.0139e-27
10.399498700862495	2.9528e-27
10.402123732086944	2.8875e-27
10.405267287997706	2.8148e-27
10.408540475080045	2.7431e-27
10.411392360854755	2.6854e-27
10.413920168700521	2.6342e-27
10.416642423303655	2.5824e-27
10.419623940249945	2.5274e-27
10.422670272782023	2.4755e-27
10.425360119592261	2.4337e-27
10.427920335230922	2.3951e-27
10.430707405419843	2.3547e-27
10.433688922366134	2.3148e-27
10.436475992555055	2.2813e-27
10.439036208193716	2.2529e-27
10.441628831625271	2.2247e-27
10.444577940778666	2.1947e-27
10.447559457724955	2.1681e-27
10.4502168967423	2.1473e-27
10.452712296795172	2.1293e-27
10.455434551398305	2.1095e-27
10.458448476137487	2.0898e-27
10.4613003619122	2.0744e-27
10.463795761965072	2.0626e-27
10.466291162017944	2.0507e-27
10.469143047792654	2.0376e-27
10.47202734136026	2.0261e-27
10.474652372584709	2.0175e-27
10.477115364844687	2.0094e-27
10.479772803862032	1.9998e-27
10.482657097429637	1.9913e-27
10.485476575411454	1.9843e-27
10.488134014428798	1.9784e-27
10.490823861239036	1.9722e-27
10.493740562599537	1.966e-27
10.496786895131615	1.9597e-27
10.499800819870797	1.9545e-27
10.502749929024192	1.9493e-27
10.50579626155627	1.9447e-27
10.508777778502559	1.9405e-27
10.51169447986306	1.9366e-27
10.51454636563777	1.9335e-27
10.517333435826693	1.9294e-27
10.52015291380851	1.9248e-27
10.523134430754798	1.919e-27
10.526245578872665	1.9129e-27
10.529518765955004	1.9062e-27
10.53285676862313	1.8999e-27
10.536162363498365	1.892e-27
10.539662405130965	1.8828e-27
10.543486524692508	1.8725e-27
10.547505091011418	1.8601e-27
10.551977366430853	1.8454e-27
10.556935758743702	1.829e-27
10.562250636778392	1.8097e-27
10.568375709635442	1.7864e-27
10.575408200693536	1.7601e-27
10.582505507337418	1.7362e-27
10.588954658123413	1.7108e-27
10.596019556974401	1.6845e-27
10.603635388304596	1.6572e-27
10.611964191078467	1.6271e-27
10.622820801698106	1.5886e-27
10.634552422725895	1.5518e-27
10.64741831650499	1.5104e-27
10.664108329845629	1.4623e-27
10.682127062694937	1.418e-27
10.70189581636055	1.3699e-27
10.723220144085094	1.3266e-27
10.746586162761986	1.2807e-27
10.771799425633864	1.2388e-27
10.794776550796024	1.2043e-27
10.819924998082113	1.1676e-27
10.847082728527656	1.1334e-27
10.871809874506116	1.1045e-27
10.898870381572978	1.0734e-27
10.928102210763765	1.0433e-27
10.954709008730104	1.0175e-27
10.983876022335103	9.9025e-28
11.015343989235607	9.6365e-28
11.043992478154296	9.4139e-28
11.075395629469012	9.1787e-28
11.109261773043706	8.9437e-28
11.140113991879216	8.7467e-28
11.173882912075225	8.5396e-28
11.210374086874369	8.3288e-28
11.24355966679828	8.1518e-28
11.2737637297759	7.9978e-28
11.306852086321129	7.8434e-28
11.3425978818837	7.6811e-28
11.37513530594972	7.5392e-28
11.404723620862347	7.4162e-28
11.437131413756791	7.2953e-28
11.472131830082791	7.1588e-28
11.503988690498028	7.0396e-28
11.538924291238239	6.9229e-28
11.576582146581583	6.7895e-28
11.610901999256798	6.6771e-28
11.642110703814147	6.5777e-28
11.676300925317786	6.4816e-28
11.713213401424557	6.3674e-28
11.746820282656095	6.271e-28
11.777380831355556	6.1851e-28
11.810890489208411	6.1012e-28
11.84705758607861	6.0002e-28
11.87995149586647	5.9123e-28
11.916021369357987	5.8228e-28
11.954975536417106	5.7226e-28
11.990397254050734	5.6364e-28
12.029221789938276	5.5491e-28
12.071125066150792	5.4506e-28
12.109269038387552	5.3661e-28
12.151075091221385	5.2807e-28
12.19618673893045	5.1844e-28
12.237279820320605	5.1016e-28
12.282261836858094	5.0188e-28
12.330841118406864	4.9233e-28
12.375045347914885	4.8422e-28
12.423494998292078	4.7609e-28
12.475768768230816	4.6669e-28
12.523375815992754	4.5873e-28
12.575519954759915	4.5072e-28
12.631812291017562	4.4149e-28
12.683016603790785	4.3369e-28
12.729651417765888	4.2689e-28
12.78072609936753	4.1989e-28
12.835884162873873	4.1184e-28
12.886083834067367	4.0495e-28
12.941079858609239	3.981e-28
13.000418527398965	3.9018e-28
13.054474725946896	3.834e-28
13.11365135577215	3.7666e-28
13.177591931152888	3.6886e-28
13.23573151160552	3.6227e-28
13.288653437402147	3.5631e-28
13.346663386683202	3.5035e-28
13.409275242555267	3.4339e-28
13.466248142463698	3.3749e-28
13.52869795937129	3.3161e-28
13.596106168591733	3.2469e-28
13.657421712748022	3.1892e-28
13.724635475211098	3.1311e-28
13.797196523501757	3.0628e-28
13.863243605420633	3.0084e-28
13.92332765344693	2.9554e-28
13.989180288608441	2.9042e-28
14.060250578425956	2.8437e-28
14.138158912544199	2.7867e-28
14.222257135105279	2.7219e-28
14.29877193412906	2.6658e-28
14.382643302139881	2.6086e-28
14.47315826769406	2.5424e-28
14.555538877231738	2.489e-28
14.630530509989482	2.4417e-28
14.712651857184001	2.3929e-28
14.801351986336092	2.338e-28
14.882047390643258	2.2902e-28
14.970488257452194	2.2413e-28
15.065961615319225	2.1861e-28
15.152846908069229	2.1411e-28
15.248061003593103	2.0936e-28
15.350826114861384	2.0394e-28
15.444355005154748	1.9955e-28
15.546860854079876	1.9495e-28
15.657501059021504	1.8967e-28
15.758192071544542	1.8538e-28
15.868540606350122	1.8087e-28
15.987639245237203	1.7576e-28
16.096043312469114	1.7156e-28
16.214817873427254	1.6721e-28
16.343055509910567	1.6225e-28
16.459723564330563	1.5828e-28
16.587604715092038	1.5408e-28
16.725661912822368	1.4934e-28
16.85127451808123	1.4553e-28
16.965576803619935	1.4212e-28
17.090865330949853	1.3862e-28
17.251640391499187	1.3404e-28
17.429623990075473	1.2907e-28
17.61687621741957	1.244e-28
17.81621655151329	1.1952e-28
18.01925137399698	1.1494e-28
18.227730705686934	1.1045e-28
18.441492507618687	1.061e-28
18.660698818756703	1.0189e-28
18.88538204689388	9.7815e-29
19.11518570630838	9.3862e-29
19.35088758402967	9.0038e-29
19.592552495643535	8.6333e-29
19.83985636322104	8.2765e-29
20.092896410140852	7.9302e-29
20.35209393771061	7.5967e-29
20.61757857710189	7.2746e-29
20.887081782812086	6.966e-29
21.16329340165143	6.6688e-29
21.44835234795096	6.3779e-29
21.74021693075832	6.0989e-29
22.038822334487723	5.8291e-29
22.345270424097578	5.5692e-29
22.659755646345264	5.3183e-29
22.982083554473398	5.0754e-29
23.318638483682196	4.8379e-29
23.668901909285342	4.6041e-29
24.02827192469183	4.3812e-29
24.398822628646897	4.1656e-29
24.78107254583686	3.958e-29
25.17466519053988	3.7578e-29
25.58092928226462	3.5649e-29
26.001679657413185	3.3788e-29
26.437985773151077	3.1982e-29
26.891273572365662	3.0235e-29
27.368154244807403	2.8534e-29
27.868206489168667	2.6863e-29
28.388286749538697	2.5274e-29
28.930274677905373	2.3737e-29
29.495563809363155	2.2264e-29
30.086843990722276	2.0846e-29
30.705249494734055	1.9481e-29
31.352368303250305	1.8177e-29
32.03484401381439	1.6916e-29
32.75844521356153	1.57e-29
33.521324658296734	1.4516e-29
34.326982389652606	1.3421e-29
35.179955498634364	1.2354e-29
36.08478107624723	1.1341e-29
37.05215369414637	1.0368e-29
38.085638209550176	9.4403e-30
39.17810490802187	8.5738e-30
40.32242407512468	7.7701e-30
41.52572542529537	7.0277e-30
42.800323919833836	6.3341e-30
44.15205296146108	5.6878e-30
45.5896626542586	5.0891e-30
47.123523491952625	4.5342e-30
48.733218565019634	4.028e-30
50.38828454813888	3.5818e-30
52.09325853231556	3.186e-30
53.863372180210064	2.8293e-30
55.69765325803558	2.5088e-30
57.59156467478686	2.2239e-30
59.54867128768232	1.9704e-30
61.57513057737188	1.7432e-30
63.66997031006872	1.5405e-30
65.82832931683866	1.361e-30
68.05895770176322	1.2017e-30
70.37319819235543	1.0584e-30
72.76100437281805	9.316e-31
75.22302439900893	8.1963e-31
77.6513403205896	7.2432e-31
79.88618171859044	6.4966e-31
81.89773342354854	5.9103e-31
83.70770865670323	5.4318e-31
85.33717248343585	5.041e-31
86.80330103398047	4.7175e-31
88.12294636064223	4.4443e-31
89.31069197022359	4.2156e-31
90.37950097988234	4.0225e-31
91.38090178032066	3.8487e-31
92.3709598532459	3.6817e-31
93.36101792617116	3.523e-31
94.35107599909641	3.3729e-31
95.34080999409272	3.2297e-31
96.33086806701797	3.0922e-31
97.32092613994323	2.962e-31
98.31098421286849	2.8386e-31
99.30104228579373	2.7217e-31
99.8979938309094	2.6552e-31
