Radius_kpc	Emissivity
1.0176695124713193	1.2256e-27
1.0560435800376302	1.4782e-27
1.0982871380755375	1.4315e-27
1.1422191421232453	1.4151e-27
1.174801937099319	1.4123e-27
1.1910609267944612	1.4161e-27
1.2050189631940982	1.419e-27
1.2231640864356974	1.421e-27
1.2467537188835627	1.4257e-27
1.2733832023049272	1.4303e-27
1.2986094282939622	1.4362e-27
1.3260555880962663	1.4429e-27
1.3568235466702512	1.4501e-27
1.3853035150658881	1.4572e-27
1.4157311918144815	1.4658e-27
1.4552816622628606	1.4761e-27
1.4948839851798705	1.4853e-27
1.5253894406314104	1.4937e-27
1.555878692186503	1.5023e-27
1.5955199044549864	1.5124e-27
1.6381037443182855	1.5228e-27
1.6751815001688184	1.5321e-27
1.7140481661871245	1.5422e-27
1.7645783968681412	1.5543e-27
1.8134104592014888	1.5656e-27
1.8496780202296608	1.5743e-27
1.8864641059441436	1.5835e-27
1.9342850451391849	1.5942e-27
1.9867727065110257	1.6063e-27
2.0354589337763485	1.6159e-27
2.079423345616951	1.6277e-27
2.1271178944197033	1.6373e-27
2.189120483785353	1.6522e-27
2.2509837196415563	1.6669e-27
2.299268090274988	1.6786e-27
2.3486348811910944	1.6887e-27
2.41281527423925	1.7042e-27
2.4780975322458176	1.72e-27
2.531952802477804	1.7329e-27
2.589100704467866	1.7436e-27
2.663392328899089	1.7625e-27
2.738008031259256	1.7808e-27
2.7992684821676224	1.7955e-27
2.86513408044629	1.8102e-27
2.9507587100526993	1.8291e-27
3.0368986235661306	1.8501e-27
3.1073434429807825	1.8667e-27
3.182565171068076	1.8828e-27
3.266770339345709	1.9015e-27
3.3447758968426347	1.9186e-27
3.4162674879677772	1.9334e-27
3.497286970203886	1.9483e-27
3.587024148728601	1.9648e-27
3.6695992050236432	1.9785e-27
3.7462112274261083	1.9895e-27
3.833550229276634	1.9992e-27
3.928893955972087	2.0082e-27
4.01438571362763	2.0125e-27
4.092132008781399	2.0145e-27
4.1800219431111305	2.0112e-27
4.275236038635006	2.0005e-27
4.35920463002451	1.9861e-27
4.43439070953962	1.9677e-27
4.518877825615434	1.9425e-27
4.609749276891454	1.9043e-27
4.688467805832057	1.8621e-27
4.757366773525645	1.8185e-27
4.833946388135215	1.7637e-27
4.916229774294207	1.6914e-27
4.983897245857805	1.62e-27
5.03811548337021	1.5567e-27
5.087407736362659	1.4923e-27
5.142014867389796	1.4189e-27
5.198436834819023	1.3339e-27
5.245330911137282	1.2567e-27
5.294363901786576	1.1758e-27
5.347577497719252	1.0839e-27
5.395508623410135	9.9979e-28
5.447166645283878	9.1049e-28
5.503102495819688	8.1681e-28
5.552556787776608	7.3804e-28
5.597506396521202	6.7108e-28
5.648613485915739	6.0052e-28
5.704776191001811	5.3117e-28
5.756758290804497	4.7408e-28
5.813569151748458	4.1833e-28
5.875079142662112	3.6686e-28
5.933575208836582	3.2463e-28
5.997159298495481	2.8494e-28
6.070076832507979	2.4675e-28
6.148438875726744	2.1292e-28
6.229847251477586	1.8402e-28
6.316149203955489	1.588e-28
6.410877182585948	1.3618e-28
6.517012704315252	1.1573e-28
6.636727091267326	9.7388e-29
6.76263136666224	8.2275e-29
6.906392335941991	6.8475e-29
7.0646395886455595	5.6859e-29
7.213326542445268	4.8338e-29
7.378184984899303	4.0629e-29
7.592497719310258	3.2816e-29
7.812773487613791	2.6864e-29
7.995683070710031	2.3035e-29
8.158305375454349	2.0202e-29
8.339659384491657	1.7479e-29
8.494244556598153	1.5582e-29
8.572671415402706	1.4814e-29
8.633273988115317	1.4202e-29
8.712057332641708	1.3412e-29
8.800109305935912	1.2583e-29
8.876688920545483	1.1935e-29
8.936675745193098	1.1468e-29
8.99044027360498	1.1061e-29
9.052241934654683	1.0598e-29
9.118677910088294	1.012e-29
9.174257274902264	9.7514e-30
9.218882805717913	9.4708e-30
9.266295406722483	9.1749e-30
9.31899047796885	8.854e-30
9.365690107529742	8.5845e-30
9.404125749902553	8.3733e-30
9.4446678988135	8.1525e-30
9.48922861404336	7.9096e-30
9.527891110966435	7.7103e-30
9.559618340210093	7.5527e-30
9.593419668198997	7.3846e-30
9.630980300163658	7.1984e-30
9.664295511259146	7.0393e-30
9.691971766391001	6.9126e-30
9.721462857924946	6.7765e-30
9.754259544334122	6.6226e-30
9.783394150146226	6.4924e-30
9.807829625988637	6.3846e-30
9.834015122647347	6.2689e-30
9.863441398595501	6.1381e-30
9.890242643319208	6.0119e-30
9.91309013730979	5.9155e-30
9.937720059909568	5.8122e-30
9.965428722834316	5.6879e-30
9.99031790777725	5.582e-30
10.010572778336277	5.4866e-30
10.031573028131877	5.3935e-30
10.058892797541892	5.2729e-30
10.085532003301125	5.1552e-30
10.103842406286486	5.0739e-30
10.11751849488794	5.0102e-30
10.132652934169645	4.9395e-30
10.15229205666368	4.855e-30
10.171283023299823	4.7645e-30
10.184343363836282	4.7027e-30
10.194227740669088	4.6578e-30
10.205051943495832	4.6027e-30
10.219149333404916	4.5382e-30
10.233538393450049	4.4708e-30
10.244427411862581	4.4192e-30
10.252853438015137	4.3747e-30
10.26199243561137	4.3322e-30
10.273853687810737	4.2727e-30
10.286168649110625	4.2074e-30
10.29576135580738	4.1573e-30
10.303442002723365	4.1129e-30
10.311770805497236	4.0604e-30
10.319645899170586	4.0176e-30
10.324798738240803	3.9805e-30
10.328817304559713	3.9573e-30
10.333484026736514	3.9279e-30
10.339122982700147	3.8907e-30
10.345021201006935	3.8483e-30
10.350562933591885	3.8092e-30
10.355683364869208	3.7736e-30
10.360901019525214	3.7334e-30
10.36663719886753	3.685e-30
10.372632640553	3.6325e-30
10.378109557552163	3.5824e-30
10.381901269320812	3.5444e-30
10.384299445995001	3.5154e-30
10.386762438254978	3.4878e-30
10.389938401958634	3.4474e-30
10.393568074762811	3.4059e-30
10.39684126184515	3.3669e-30
10.399498700862495	3.3315e-30
10.402123732086944	3.2949e-30
10.405267287997706	3.2514e-30
10.408540475080045	3.2047e-30
10.411392360854755	3.1639e-30
10.413920168700521	3.123e-30
10.416642423303655	3.0778e-30
10.419623940249945	3.0266e-30
10.422670272782023	2.9753e-30
