Radius_kpc	number_density
1.0176695124713193	1.0101487199999998e-07
1.0560435800376302	1.1587274999999999e-07
1.0982871380755375	1.3379547999999998e-07
1.1422191421232453	1.5294713000000002e-07
1.174801937099319	1.6830618e-07
1.1910609267944612	1.7594773e-07
1.2050189631940982	1.8233438999999998e-07
1.2231640864356974	1.91249695e-07
1.2467537188835627	2.0396838e-07
1.2733832023049272	2.1795445e-07
1.2986094282939622	2.3196869500000004e-07
1.3260555880962663	2.4843931e-07
1.3568235466702512	2.6621504e-07
1.3853035150658881	2.8397019e-07
1.4157311918144815	3.0426157999999996e-07
1.4552816622628606	3.30790915e-07
1.4948839851798705	3.5868244999999997e-07
1.5253894406314104	3.8016306999999995e-07
1.555878692186503	4.0281626e-07
1.5955199044549864	4.34350455e-07
1.6381037443182855	4.6829104e-07
1.6751815001688184	4.998154349999999e-07
1.7140481661871245	5.323688300000001e-07
1.7645783968681412	5.787096e-07
1.8134104592014888	6.2391504e-07
1.8496780202296608	6.577728149999999e-07
1.8864641059441436	6.9385568e-07
1.9342850451391849	7.412519099999999e-07
1.9867727065110257	7.961373e-07
2.0354589337763485	8.471274350000001e-07
2.079423345616951	8.96930055e-07
2.1271178944197033	9.48806355e-07
2.189120483785353	1.02175584e-06
2.2509837196415563	1.09723005e-06
2.299268090274988	1.1566562699999998e-06
2.3486348811910944	1.2180224000000002e-06
2.41281527423925	1.3027924e-06
2.4780975322458176	1.3888486499999998e-06
2.531952802477804	1.4624883e-06
2.589100704467866	1.547861e-06
2.663392328899089	1.65759895e-06
2.738008031259256	1.7673319999999996e-06
2.7992684821676224	1.8646949999999998e-06
2.86513408044629	1.97384985e-06
2.9507587100526993	2.11863015e-06
3.0368986235661306	2.26371915e-06
3.1073434429807825	2.38458255e-06
3.182565171068076	2.5159932e-06
3.266770339345709	2.6720728999999997e-06
3.3447758968426347	2.8153489e-06
3.4162674879677772	2.95874495e-06
3.497286970203886	3.1127446000000003e-06
3.587024148728601	3.2784038000000005e-06
3.6695992050236432	3.4448274e-06
3.7462112274261083	3.5856533999999993e-06
3.833550229276634	3.7610244e-06
3.928893955972087	3.9364542e-06
4.01438571362763	4.08779315e-06
4.092132008781399	4.227367199999999e-06
4.1800219431111305	4.3759646000000005e-06
4.275236038635006	4.52484375e-06
4.35920463002451	4.63796025e-06
4.43439070953962	4.7275935e-06
4.518877825615434	4.8269949e-06
4.609749276891454	4.902028599999999e-06
4.688467805832057	4.954855499999999e-06
4.757366773525645	4.98463035e-06
4.833946388135215	5.011229999999999e-06
4.916229774294207	5.015941349999999e-06
4.983897245857805	4.997853e-06
5.03811548337021	4.980820599999999e-06
5.087407736362659	4.9648368e-06
5.142014867389796	4.9349663999999994e-06
5.198436834819023	4.89431845e-06
5.245330911137282	4.854748499999999e-06
5.294363901786576	4.81324305e-06
5.347577497719252	4.7610017e-06
5.395508623410135	4.72164e-06
5.447166645283878	4.656813000000001e-06
5.503102495819688	4.5930885e-06
5.552556787776608	4.5186624000000004e-06
5.597506396521202	4.456111449999999e-06
5.648613485915739	4.38008305e-06
5.704776191001811	4.281668999999999e-06
5.756758290804497	4.195169299999999e-06
5.813569151748458	4.08457385e-06
5.875079142662112	3.974243000000001e-06
5.933575208836582	3.8649877e-06
5.997159298495481	3.7427155499999996e-06
6.070076832507979	3.6091439999999994e-06
6.148438875726744	3.4752172e-06
6.229847251477586	3.3301183999999995e-06
6.316149203955489	3.1970736000000002e-06
6.410877182585948	3.0516024e-06
6.517012704315252	2.8951846e-06
6.636727091267326	2.7382376e-06
6.76263136666224	2.582055e-06
6.906392335941991	2.41363955e-06
7.0646395886455595	2.2581405e-06
7.213326542445268	2.1149036999999997e-06
7.378184984899303	1.9712112e-06
7.592497719310258	1.803984e-06
7.812773487613791	1.6509276e-06
7.995683070710031	1.5332492000000002e-06
8.158305375454349	1.4281344e-06
8.339659384491657	1.32217925e-06
8.494244556598153	1.2308457e-06
8.572671415402706	1.1851801499999999e-06
8.633273988115317	1.150422e-06
8.712057332641708	1.0997981399999999e-06
8.800109305935912	1.04714225e-06
8.876688920545483	9.984119949999998e-07
8.936675745193098	9.5881632e-07
8.99044027360498	9.236997349999999e-07
9.052241934654683	8.818794599999999e-07
9.118677910088294	8.357863850000001e-07
9.174257274902264	7.95639705e-07
9.218882805717913	7.64311065e-07
9.266295406722483	7.286674849999999e-07
9.31899047796885	6.874749e-07
9.365690107529742	6.5087925e-07
9.404125749902553	6.19934035e-07
9.4446678988135	5.86720365e-07
9.48922861404336	5.503028299999999e-07
9.527891110966435	5.1732632e-07
9.559618340210093	4.910211599999999e-07
9.593419668198997	4.6235909999999993e-07
9.630980300163658	4.30592155e-07
9.664295511259146	4.0103559999999997e-07
9.691971766391001	3.7701971999999996e-07
9.721462857924946	3.51862875e-07
9.754259544334122	3.2349407999999997e-07
9.783394150146226	2.9739325e-07
9.807829625988637	2.7672064e-07
9.834015122647347	2.5492837999999997e-07
9.863441398595501	2.3105900999999996e-07
9.890242643319208	2.0936965e-07
9.91309013730979	1.9093609499999998e-07
9.937720059909568	1.71402e-07
9.965428722834316	1.508514e-07
9.99031790777725	1.3247346e-07
10.010572778336277	1.1949483000000002e-07
10.031573028131877	1.0555952399999998e-07
10.058892797541892	8.903525399999998e-08
10.085532003301125	7.308742e-08
10.103842406286486	6.296980200000001e-08
10.11751849488794	5.629463e-08
10.132652934169645	4.940767999999999e-08
10.15229205666368	4.1118496999999994e-08
10.171283023299823	3.369534e-08
10.184343363836282	2.8967085000000005e-08
